Provinsi,UMP_2024,Kuintil Pertama,Kuintil Kedua,Kuintil Ketiga,Kuintil Keempat,Kuintil Kelima,Stunting,Wasting,Kelebihan berat badan,Kelebihan BB Anak 5-12 tahun,Kelebihan BB Remaja 13-15 tahun,Kelebihan BB Remaja 16-18 tahun,Kelebihan BB Dewasa >18 tahun,Kerawanan pangan
Aceh,3460672,1559.07,1863.5,2038.54,2228.84,2574.43,24.6,13.6,4.7,17.2,15.3,12.1,39.9,4.7
Bali,2813672,1918.83,2175.64,2266.56,2366.14,2590.63,24.6,10.55,4.7,26.7,20.0,13.2,39.8,4.800000000000001
Banten,2727812,1752.49,2053.64,2205.32,2428.25,2597.54,23.9,10.2,4.9,19.3,15.6,10.5,36.9,5.76
Bengkulu,2507079,1661.21,1943.68,2030.5,2243.65,2420.84,24.6,10.55,4.7,23.6,15.2,7.7,39.4,4.800000000000001
D.I. Yogyakarta,2125897,1661.76,1935.91,2072.51,2181.61,2412.39,24.6,10.55,4.7,21.6,15.25,11.100000000000001,39.0,4.800000000000001
Gorontalo,3025100,1635.97,1864.76,2014.22,2118.37,2347.49,26.8,12.7,4.4,17.0,14.3,14.8,42.5,5.96
Jambi,3037121,1588.6,1837.4,2018.34,2225.61,2543.68,24.6,10.55,4.7,19.2,10.5,5.2,39.4,4.800000000000001
Jawa Barat,2057495,1682.32,1947.48,2128.39,2293.57,2499.94,21.7,10.55,4.7,18.4,17.0,13.1,39.8,4.9
Jawa Tengah,2036947,1579.14,1860.01,2043.44,2207.25,2434.89,24.6,10.55,4.7,21.3,15.2,11.6,36.0,4.800000000000001
Jawa Timur,2165244,1660.82,1922.42,2061.4,2230.83,2466.43,24.6,10.55,4.7,23.5,19.8,14.9,38.2,4.800000000000001
Kalimantan Barat,2702616,1476.7,1738.32,1867.23,2118.72,2396.34,24.5,13.3,4.7,20.6,15.5,9.9,30.7,5.02
Kalimantan Selatan,3282812,1693.71,1986.93,2177.3,2324.63,2654.93,24.7,12.4,4.8,20.2,14.5,12.9,33.5,3.69
Kalimantan Tengah,3261616,1638.19,1910.17,2133.95,2334.62,2652.03,23.5,9.0,4.7,21.4,17.1,12.5,36.5,3.73
Kalimantan Timur,3360858,1573.26,1827.89,2017.47,2171.82,2453.21,22.8,10.1,4.7,21.4,18.6,15.7,43.2,4.800000000000001
Kalimantan Utara,3361653,1465.64,1715.02,1866.9,2042.89,2365.66,24.6,8.7,4.4,24.2,15.8,9.9,40.2,3.65
Kepulauan Riau,3402492,1660.66,1963.96,2070.37,2245.82,2297.7,24.6,10.55,4.6,21.6,16.5,16.0,44.2,4.58
Lampung,2716497,1632.01,1908.12,2087.03,2300.06,2554.05,24.6,7.3,4.7,20.2,11.5,8.2,33.4,5.12
Maluku,2949953,1387.53,1654.2,1829.46,1943.43,2283.78,24.6,10.55,4.7,9.9,15.25,4.9,39.4,4.800000000000001
Maluku Utara,3200000,1408.92,1623.74,1820.27,1992.56,2269.37,24.6,10.55,4.7,16.3,13.2,9.8,37.6,4.800000000000001
Nusa Tenggara Timur,2186826,1497.89,1747.09,1931.61,2078.62,2435.64,24.6,10.55,4.7,18.799999999999997,15.25,4.7,39.4,4.800000000000001
Papua,4024270,1402.98,1674.22,1790.51,2028.2,2617.53,24.8,13.1,4.7,18.3,15.25,15.6,45.5,4.800000000000001
Papua Barat,3393000,1343.24,1596.2,1816.34,2042.05,2499.76,24.6,11.5,4.8,15.8,15.25,9.6,43.4,4.800000000000001
Papua Barat Daya,4024270,1402.98,1674.22,1790.51,2028.2,2617.53,24.6,13.4,4.5,13.1,13.5,17.2,43.4,4.800000000000001
Papua Pegunungan,4024270,1402.98,1674.22,1790.51,2028.2,2617.53,25.1,10.9,4.7,28.2,14.4,11.4,32.1,4.800000000000001
Papua Selatan,4024270,1402.98,1674.22,1790.51,2028.2,2617.53,24.6,13.8,5.2,16.0,12.6,8.2,34.7,4.800000000000001
Riau,3294625,1573.72,1850.46,2062.5,2214.23,2539.02,24.6,10.55,4.7,20.1,16.4,10.4,40.8,4.800000000000001
Sulawesi Barat,2914958,1616.28,1955.34,2086.75,2297.37,2541.66,24.6,10.55,4.7,13.0,15.0,10.2,39.4,4.800000000000001
Sulawesi Selatan,3434298,1625.97,1905.73,2091.04,2368.42,2560.36,24.6,9.1,4.7,15.5,15.5,12.9,34.6,3.63
Sulawesi Tengah,2736698,1535.98,1838.62,2078.41,2267.43,2556.68,24.6,12.9,4.7,15.3,16.0,12.5,35.6,6.71
Sulawesi Tenggara,2885964,1549.96,1866.85,2045.12,2202.77,2432.18,24.6,12.1,4.3,14.6,11.9,9.3,35.8,4.16
Sulawesi Utara,3545000,1682.29,1932.34,2089.83,2293.46,2526.2,24.6,9.2,4.7,22.5,18.9,14.2,47.5,6.17
Sumatera Barat,2811499,1645.65,1921.83,2103.17,2265.57,2494.01,24.6,10.55,4.7,16.2,14.7,9.5,39.4,4.800000000000001
Sumatera Selatan,3456874,1742.56,1970.37,2166.57,2405.55,2670.34,24.6,9.7,5.1,18.3,13.1,8.2,31.2,4.42
Sumatera Utara,2809915,1648.1,1898.96,2070.2,2282.54,2568.4,24.6,7.9,4.7,18.3,14.4,10.8,40.9,5.19
