Provinsi,Stunting,Wasting,Kelebihan berat badan,Kelebihan BB Anak 5-12 tahun,Kelebihan BB Remaja 13-15 tahun,Kelebihan BB Remaja 16-18 tahun,Kelebihan BB Dewasa >18 tahun,Kerawanan pangan
Aceh,29.3,13.6,3.5,17.2,15.3,12.1,39.9,4.7
Banten,23.9,10.2,4.9,19.3,15.6,10.5,36.9,5.76
DKI Jakarta,17.6,10.1,6.7,27.3,23.3,19.2,48.0,3.36
Gorontalo,26.8,12.7,4.4,17.0,14.3,14.8,42.5,5.96
Jawa Barat,21.7,6.3,3.9,18.4,17.0,13.1,39.8,4.9
Kalimantan Barat,24.5,13.3,5.5,20.6,15.5,9.9,30.7,5.02
Kalimantan Selatan,24.7,12.4,4.8,20.2,14.5,12.9,33.5,3.69
Kalimantan Tengah,23.5,9.0,7.2,21.4,17.1,12.5,36.5,3.73
Kalimantan Timur,22.8,10.1,4.7,21.4,18.6,15.7,43.2,3.23
Kalimantan Utara,17.4,8.7,4.4,24.2,15.8,9.9,40.2,3.65
Kepulauan Riau,16.8,6.3,4.6,21.6,16.5,16.0,44.2,4.58
Lampung,14.9,7.3,3.4,20.2,11.5,8.2,33.4,5.12
Papua,24.8,13.1,4.7,18.3,22.5,15.6,45.5,8.58
Papua Barat,39.3,11.5,4.8,15.8,22.3,9.6,43.4,9.97
Papua Barat Daya,37.3,13.4,4.5,13.1,13.5,17.2,43.4,-
Papua Pegunungan,25.1,10.9,10.3,28.2,14.4,11.4,32.1,-
Papua Selatan,31.0,13.8,5.2,16.0,12.6,8.2,34.7,-
Papua Tengah,28.6,18.8,12.8,28.7,37.4,18.1,44.5,-
Sulawesi Selatan,27.4,9.1,3.9,15.5,15.5,12.9,34.6,3.63
Sulawesi Tengah,27.2,12.9,2.6,15.3,16.0,12.5,35.6,6.71
Sulawesi Tenggara,30.0,12.1,4.3,14.6,11.9,9.3,35.8,4.16
Sulawesi Utara,21.3,9.2,5.4,22.5,18.9,14.2,47.5,6.17
Sumatera Selatan,20.3,9.7,5.1,18.3,13.1,8.2,31.2,4.42
Sumatera Utara,18.9,7.9,3.5,18.3,14.4,10.8,40.9,5.19
INDONESIA,21.5,8.5,4.2,19.7,16.2,12.1,37.8,4.5
Riau,,,,20.1,16.4,10.4,40.8,
Bali,,,,26.7,20.0,13.2,39.8,
Jawa Timur,,,,23.5,19.8,14.9,38.2,
D.I. Yogyakarta,,,,21.6,25.6,19.1,39.0,
Maluku Utara,,,,16.3,13.2,9.8,37.6,
Jawa Tengah,,,,21.3,15.2,11.6,36.0,
Sumatera Barat,,,,16.2,14.7,9.5,,
Bengkulu,,,,23.6,15.2,7.7,,
Maluku,,,,9.9,8.5,4.9,,
Sulawesi Barat,,,,13.0,15.0,10.2,,
Nusa Tenggara Barat,,,,12.9,10.4,8.5,,
Jambi,,,,19.2,10.5,5.2,,
Nusa Tenggara Timur,,,,6.1,4.5,4.7,,
