Provinsi,UMP_2024
Aceh,3460672
Sumatera Utara,2809915
Sumatera Barat,2811499
Kepulauan Riau,3402492
Bangka Belitung,3640000
Riau,3294625
Bengkulu,2507079
Sumatera Selatan,3456874
Jambi,3037121
Lampung,2716497
Banten,2727812
DKI Jakarta,5067381
Jawa Barat,2057495
Jawa Tengah,2036947
D.I. Yogyakarta,2125897
Jawa Timur,2165244
Bali,2813672
Nusa Tenggara Barat,2444067
Nusa Tenggara Timur,2186826
Kalimantan Barat,2702616
Kalimantan Selatan,3282812
Kalimantan Tengah,3261616
Kalimantan Timur,3360858
Kalimantan Utara,3361653
Sulawesi Barat,2914958
Gorontalo,3025100
Sulawesi Tengah,2736698
Sulawesi Utara,3545000
Sulawesi Selatan,3434298
Sulawesi Tenggara,2885964
Maluku,2949953
Maluku Utara,3200000
Papua,4024270
Papua Barat,3393000
Papua Tengah,4024270
Papua Pegunungan,4024270
Papua Barat Daya,4024270
Papua Selatan,4024270
